text,song
"But still I fear and still I dare not, laugh at the madman!",The Prophet's Song
"Okay, this is a Ricky Nelson song",Hello Mary Lou (Goodbye Heart)
I say hello Mary Lou (goodbye heart),Hello Mary Lou (Goodbye Heart)
Sweet Mary Lou I'm so in love with you,Hello Mary Lou (Goodbye Heart)
I knew Mary Lou we'd never part,Hello Mary Lou (Goodbye Heart)
So hello Mary Lou (goodbye heart),Hello Mary Lou (Goodbye Heart)
You passed me by one sunny day,Hello Mary Lou (Goodbye Heart)
Flashed those big brown eyes my way,Hello Mary Lou (Goodbye Heart)
"Ooh, I wanted you forever more",Hello Mary Lou (Goodbye Heart)
"Hey, I'm not one that get's around",Hello Mary Lou (Goodbye Heart)
Swear my feet stuck to the ground,Hello Mary Lou (Goodbye Heart)
And though I never did see you no more,Hello Mary Lou (Goodbye Heart)
Yeah neah,Hello Mary Lou (Goodbye Heart)
I said hello Mary Lou (goodbye heart),Hello Mary Lou (Goodbye Heart)
Sweet Mary Lou I'm so in love with you,Hello Mary Lou (Goodbye Heart)
"Hey, I knew Mary Lou we'd never part",Hello Mary Lou (Goodbye Heart)
So hello Mary Lou (goodbye heart),Hello Mary Lou (Goodbye Heart)
So hello Mary Lou (goodbye heart),Hello Mary Lou (Goodbye Heart)
One more time,Hello Mary Lou (Goodbye Heart)
"Yes, hello Mary Lou (goodbye heart)",Hello Mary Lou (Goodbye Heart)
"Hey, wait a minute",Hello Mary Lou (Goodbye Heart)
One minute,Hello Mary Lou (Goodbye Heart)
"Ah, I need my fucking water",Hello Mary Lou (Goodbye Heart)
"I don't care, let's go",Hello Mary Lou (Goodbye Heart)
"Right, give us the right key for fuck's sake",Hello Mary Lou (Goodbye Heart)
Just walking down the street,Hijack My Heart
One cloudless sunny day,Hijack My Heart
Just minding my own business,Hijack My Heart
Thinking my thoughts -,Hijack My Heart
nothing much to say,Hijack My Heart
When suddenly I got hit,Hijack My Heart
Imagine my surprise,Hijack My Heart
Your smile came up and zapped,Hijack My Heart
Me right between the eyes,Hijack My Heart
I'd never seen anything to compare,Hijack My Heart
With your smile,Hijack My Heart
I'd never seen anything,Hijack My Heart
That came within miles,Hijack My Heart
My heart got hijacked by you,Hijack My Heart
Stuck in the traffic,Hijack My Heart
Stuck at the lights,Hijack My Heart
What do I see,Hijack My Heart
Some stupid bimbo,Hijack My Heart
In a fast car next to me,Hijack My Heart
She takes off,Hijack My Heart
Imagine my disgust,Hijack My Heart
Like a bat outta hell,Hijack My Heart
I get to eat her dust,Hijack My Heart
I never known anything to compare,Hijack My Heart
With her laugh,Hijack My Heart
I never known anything,Hijack My Heart
That counted by half,Hijack My Heart
My heart got hijacked by you,Hijack My Heart
Hijack my heart (Hijack my heart),Hijack My Heart
Hijack my heart hijack hijack hijack,Hijack My Heart
Steal my heart,Hijack My Heart
Hijack my heart (Hijack my heart),Hijack My Heart
Hijack my heart,Hijack My Heart
Look at the city,Hijack My Heart
Look at the streets,Hijack My Heart
What do you see ?,Hijack My Heart
Look at the faces,Hijack My Heart
Of the people - they all wanted me,Hijack My Heart
Suddenly hit by something,Hijack My Heart
They don't get a chance,Hijack My Heart
It comes out of nowhere,Hijack My Heart
Right out of the blue,Hijack My Heart
Cos I've never seen anything,Hijack My Heart
To compare with your smile,Hijack My Heart
I've never seen anything,Hijack My Heart
That came within miles,Hijack My Heart
My heart got hijacked by you,Hijack My Heart
Hijack my heart,Hijack My Heart
Now you got a hold on me,Hijack My Heart
You hijacked my heart,Hijack My Heart
But you won't let me be,Hijack My Heart
Stole my heart,Hijack My Heart
Threw away the key,Hijack My Heart
Ooh baby what's become of me,Hijack My Heart
You hijacked my heart,Hijack My Heart
Now you got a hold on me,Hijack My Heart
You hijacked my heart,Hijack My Heart
Ride the wild wind (Push the envelope don't sit on the fence),Ride The Wild Wind
"(Hey, hey, hey) Ride the wild wind",Ride The Wild Wind
"Live life on the razor's edge (Hey, hey, hey)",Ride The Wild Wind
Gonna ride the whirlwind,Ride The Wild Wind
It ain't dangerous - enough for me,Ride The Wild Wind
Get your head down baby (yeah) we're gonna ride tonight,Ride The Wild Wind
Your angel eyes are shining bright,Ride The Wild Wind
"I wanna take your hand, lead you from this place",Ride The Wild Wind
"Gonna leave it all behind, check out of this rat race",Ride The Wild Wind
"Ride the wild wind (hey, hey, hey)",Ride The Wild Wind
"Ride the wild wind (hey, hey, hey)",Ride The Wild Wind
Gonna ride the wild wind,Ride The Wild Wind
It ain't dangerous - enough for me,Ride The Wild Wind
"Tie your hair back baby, we're gonna ride tonight (yeah)",Ride The Wild Wind
"We got freaks to the left, we got jerks to the right",Ride The Wild Wind
"Sometimes I get so low, I just have to ride",Ride The Wild Wind
"Let me take your hand, let me be your guide",Ride The Wild Wind
Oooh ride the wild wind (Don't sit on the fence),Ride The Wild Wind
"(Hey, hey, hey) Ride the wild wind",Ride The Wild Wind
"(Live life on the razor's edge) (Hey, hey hey)",Ride The Wild Wind
Gonna ride the wild wind,Ride The Wild Wind
It ain't dangerous - enough for me,Ride The Wild Wind
